1pRank,2pRank,n,p1_win,p1_rate
12,23,7,0,0
12,24,2,0,0
12,26,2,0,0
12,27,4,0,0
12,28,1,0,0
12,29,2,0,0
13,0,42,36,0.8571428571428571
13,1,11,8,0.7272727272727273
13,2,5,5,1
13,3,104,80,0.7692307692307693
13,4,75,58,0.7733333333333333
13,5,74,61,0.8243243243243243
13,6,104,76,0.7307692307692307
13,7,67,53,0.7910447761194029
13,8,520,351,0.675
13,9,741,557,0.7516869095816464
13,10,2584,1720,0.6656346749226006
13,11,6723,4215,0.6269522534582775
13,12,10640,6166,0.5795112781954888
13,13,8626,4340,0.5031300718757246
13,14,9844,4281,0.43488419341731005
13,15,14668,4933,0.33631033542405236
13,16,3115,804,0.25810593900481543
13,17,622,155,0.2491961414790997
13,18,866,168,0.19399538106235567
13,19,78,11,0.14102564102564102
13,20,66,2,0.030303030303030304
13,21,94,14,0.14893617021276595
13,22,37,2,0.05405405405405406
13,23,38,4,0.10526315789473684
13,24,6,0,0
13,25,1,0,0
13,26,4,0,0
13,27,2,1,0.5
13,28,6,0,0
14,0,60,46,0.7666666666666667
14,1,14,14,1
14,2,25,25,1
14,3,11,6,0.5454545454545454
14,4,109,77,0.7064220183486238
14,5,96,77,0.8020833333333334
14,6,120,88,0.7333333333333333
14,7,89,67,0.7528089887640449
14,8,109,81,0.7431192660550459
14,9,631,479,0.7591125198098256
14,10,654,417,0.6376146788990825
14,11,2730,1866,0.6835164835164835
14,12,11951,7785,0.6514099238557443
14,13,9909,5531,0.5581794328388334
14,14,11688,5808,0.49691991786447637
14,15,17467,7001,0.4008129615847026
14,16,10197,3006,0.294792586054722
14,17,2846,644,0.22628250175685172
14,18,793,160,0.201765447667087
14,19,472,84,0.17796610169491525
14,20,91,18,0.1978021978021978
14,21,79,11,0.13924050632911392
14,22,49,4,0.08163265306122448
14,23,35,6,0.17142857142857143
14,24,30,2,0.06666666666666667
14,25,2,0,0
14,28,2,0,0
15,0,152,108,0.7105263157894737
15,1,24,19,0.7916666666666666
15,2,37,31,0.8378378378378378
15,3,41,36,0.8780487804878049
15,4,25,20,0.8
15,5,146,117,0.8013698630136986
15,6,240,200,0.8333333333333334
15,7,157,123,0.7834394904458599
15,8,190,152,0.8
15,9,351,291,0.8290598290598291
15,10,1454,994,0.6836313617606602
15,11,1613,1041,0.6453812771233726
15,12,6640,4770,0.7183734939759037
15,13,14382,9367,0.6513002364066194
15,14,17110,10341,0.6043834015195791
15,15,29097,14558,0.5003264941402894
15,16,17730,6883,0.38821206993795826
15,17,16217,5068,0.31251156194117286
15,18,5333,1368,0.25651603225201575
15,19,1251,275,0.21982414068745004
15,20,812,146,0.17980295566502463
15,21,208,30,0.14423076923076922
15,22,75,5,0.06666666666666667
15,23,60,3,0.05
15,24,57,4,0.07017543859649122
15,25,38,2,0.05263157894736842
15,26,10,0,0
15,27,7,0,0
15,28,2,0,0
