steamid,appid,playtime_forever,playtime_2weeks,1pPlayerName,rank,games,n,sample_weights
76561198849396015,1778820,0,NA,sengi,0,1,1460,0.04021595416483032
76561198991640737,389730,41.6,NA,Crutches,0,1,1460,0.04021595416483032
76561198991640737,1778820,16.683333333333334,11.816666666666666,Crutches,0,1,1460,0.04021595416483032
76561198209727637,389730,12.45,NA,근성제육,0,1,1460,0.04021595416483032
76561198209727637,1778820,10.2,10.2,근성제육,0,1,1460,0.04021595416483032
76561198284542634,1778820,35.416666666666664,18.866666666666667,NotDaddy,0,1,1460,0.04021595416483032
76561198389897632,389730,38.53333333333333,NA,TheAssass1n,0,1,1460,0.04021595416483032
76561198389897632,1778820,15.2,15.2,TheAssass1n,0,1,1460,0.04021595416483032
76561198279035272,1778820,0,NA,thas crazy,0,1,1460,0.04021595416483032
76561198209727637,389730,12.45,NA,근성제육,0,1,1460,0.04021595416483032
76561198209727637,1778820,10.2,10.2,근성제육,0,1,1460,0.04021595416483032
76561198025819521,389730,4.333333333333333,NA,Boneless Skelly,0,1,1460,0.04021595416483032
76561198025819521,1778820,61.9,26.766666666666666,Boneless Skelly,0,1,1460,0.04021595416483032
76561198008327608,1778820,65.35,21,HappyLALA,0,2,1460,0.04021595416483032
76561198089951875,1778820,45.75,15.533333333333333,RIP 30 papp,0,1,1460,0.04021595416483032
76561198128686592,1778820,0,NA,tiefz,0,1,1460,0.04021595416483032
76561198056154905,389730,0,NA,DownforwardFire,0,1,1460,0.04021595416483032
76561198056154905,1778820,0,NA,DownforwardFire,0,1,1460,0.04021595416483032
76561198196602615,389730,37.61666666666667,NA,Weirba,0,1,1460,0.04021595416483032
76561198196602615,1778820,56.86666666666667,41.28333333333333,Weirba,0,1,1460,0.04021595416483032
76561198991640737,389730,41.6,NA,Crutches,0,1,1460,0.04021595416483032
76561198991640737,1778820,16.683333333333334,11.816666666666666,Crutches,0,1,1460,0.04021595416483032
76561198124932088,1778820,8.983333333333333,8.983333333333333,Alex55132,0,1,1460,0.04021595416483032
76561198162740637,389730,0.23333333333333334,NA,Myjul,0,4,1460,0.04021595416483032
76561198162740637,1778820,47.8,22.95,Myjul,0,4,1460,0.04021595416483032
76561197995270667,389730,0,NA,Noreaster,0,6,1460,0.04021595416483032
76561197995270667,1778820,0,NA,Noreaster,0,6,1460,0.04021595416483032
76561198121895041,1778820,10.016666666666667,10.016666666666667,zvv3,0,1,1460,0.04021595416483032
76561198086792604,1778820,94.3,56.016666666666666,Quicksilver515,0,1,1460,0.04021595416483032
76561198129883795,1778820,44.7,21.833333333333332,Aecelious,0,1,1460,0.04021595416483032
76561198219365431,389730,29.583333333333332,NA,StellarXiv,0,5,1460,0.04021595416483032
76561198219365431,1778820,26.566666666666666,9.116666666666667,StellarXiv,0,5,1460,0.04021595416483032
76561198043710279,389730,402.0833333333333,NA,공참니 원툴,0,1,1460,0.04021595416483032
76561198043710279,1778820,49.516666666666666,49.516666666666666,공참니 원툴,0,1,1460,0.04021595416483032
76561198304260444,389730,32.81666666666667,NA,Geetle,0,1,1460,0.04021595416483032
76561198304260444,1778820,20.95,20.95,Geetle,0,1,1460,0.04021595416483032
76561198202243448,389730,0,NA,vague,0,1,1460,0.04021595416483032
76561198202243448,1778820,0,NA,vague,0,1,1460,0.04021595416483032
76561198853136640,1778820,28.366666666666667,28.366666666666667,Filthy,0,2,1460,0.04021595416483032
76561198137540807,389730,399.6333333333333,NA,gandaberni,0,1,1460,0.04021595416483032
76561198137540807,1778820,7.65,7.65,gandaberni,0,1,1460,0.04021595416483032
